name,product_url,scraped_at,description,image_url,price
استابلایزر فاران مدل STB ظرفیت 2000VA,https://artaelectric.ir/product/faran-model-stb-capacity-2000va-smart-stabilizer/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E","8,107,000تومان"
استابلایزر فاران مدل STB ظرفیت 5000VA,https://artaelectric.ir/product/faran-model-stb-capacity-5000va-smart-stabilizer/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E","17,567,000تومان"
یو پی اس آنلاین 1KVA فاران مدل Titan Plus بدون باتری,https://artaelectric.ir/product/faran-model-titan-plus-capacity-1kva-ups-without-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E","28,270,000تومان"
یو پی اس آنلاین 6KVA فاران مدل Titan Plus بدون باتری,https://artaelectric.ir/product/faran-model-titan-plus-capacity-6kva-external-battery-ups/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E","96,470,000تومان"
یو پی اس اینتراکتیو 1000VA فاران مدل Trust بدون باتری,https://artaelectric.ir/product/faran-model-trust-plus-1000va-interactive-ups-without-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 6KVA فاران مدل Titan Plus باتری داخلی,https://artaelectric.ir/product/faran-model-titan-plus-capacity-6kva-ups-internal-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 3KVA فاران مدل Titan Plus بدون باتری,https://artaelectric.ir/product/faran-model-titan-plus-3kva-online-ups-without-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 3KVA فاران مدل Titan Plus باتری داخلی,https://artaelectric.ir/product/faran-model-titan-plus-capacity-3kva-ups/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 10KVA سه فاز به تکفاز فاران مدل Titan Plus باتری داخلی,https://artaelectric.ir/product/faran-model-titan-plus-3to1-phase-10kva-online-ups/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 10KVA فاران مدل Vigor RT بدون باتری,https://artaelectric.ir/product/faran-model-vigor-rt-plus-10kva-online-ups-without-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 15KVA سه فاز به تکفاز فاران مدل Titan Plus باتری داخلی,https://artaelectric.ir/product/faran-model-titan-plus-3to1-phase-15kva-online-ups/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 1KVA فاران مدل Vigor RT باتری داخلی,https://artaelectric.ir/product/faran-model-vigor-rt-plus-1kva-online-ups-internal-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 1KVA فاران مدل Vigor RT بدون باتری,https://artaelectric.ir/product/faran-model-vigor-rt-plus-1kva-online-ups-without-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 20KVA سه فاز به تکفاز فاران مدل Titan Plus بدون باتری,https://artaelectric.ir/product/faran-model-titan-plus-3to1-phase-20kva-online-ups/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 2KVA فاران مدل Titan Plus بدون باتری,https://artaelectric.ir/product/faran-model-titan-plus-1kva-online-ups/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",ناموجود
یو پی اس آنلاین 3KVA فاران مدل Vigor RT باتری داخلی,https://artaelectric.ir/product/faran-model-vigor-rt-plus-3kva-online-ups-internal-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 6KVA فاران مدل Vigor RT بدون باتری,https://artaelectric.ir/product/faran-model-vigor-rt-plus-6kva-online-ups-without-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین سه فاز 15KVA فاران مدل Titan pro بدون باتری,https://artaelectric.ir/product/faran-model-titan-pro-15kva-online-ups-whitout-battery/,2025-11-15 00:02:25,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
